topic,word,weight
1,mujer,0.0014566541649401188
1,ingeniería,0.0008317864267155528
1,estudiante,0.0008004208793863654
1,poder,0.0007799045997671783
1,desarrollo,0.0006057486752979457
1,trabajo,0.0005805669934488833
1,género,0.0005695588188245893
1,proyecto,0.0005607385537587106
1,conocimiento,0.0005330635467544198
1,estudio,0.0005296705639921129
1,carrera,0.0005294723669067025
1,investigación,0.0005022076074965298
1,programa,0.0004955694312229753
1,actividad,0.00048175459960475564
1,desarrollar,0.0004746072518173605
1,social,0.00047215039376169443
1,relación,0.0004718296113424003
1,año,0.00045298118493519723
1,presentar,0.0004472258151508868
1,stem,0.00044519052607938647
1,encontrar,0.00043582869693636894
1,experiencia,0.00043213317985646427
1,profesional,0.000428120227297768
1,docente,0.0004165810823906213
1,universidad,0.0004114638431929052
1,grupo,0.0004113181203138083
1,lograr,0.00040983816143125296
1,interés,0.0004094362957403064
1,persona,0.0004065466928295791
1,diferente,0.00040355362580157816
2,deber,0.0004968867287971079
2,acción,0.00046043642214499414
2,proceso,0.0004473156004678458
2,hombre,0.0004362450272310525
2,académico,0.0004248243640176952
2,ciencia,0.0004188223974779248
2,espacio,0.0004068556590937078
2,situación,0.00040404644096270204
2,generar,0.0003921258030459285
2,trabajar,0.0003820463898591697
2,formación,0.00038046197732910514
2,país,0.00037561284261755645
2,estrategia,0.00037218994111754
2,través,0.00036394799826666713
2,identificar,0.0003574772854335606
2,resultado,0.0003546257212292403
2,permitir,0.00035167369060218334
2,área,0.0003507586952764541
2,participación,0.0003507536603137851
2,llevar,0.00035020013456232846
2,laboral,0.00034623968531377614
2,educación,0.00034466644865460694
2,lugar,0.00034393579699099064
2,nivel,0.0003429359057918191
2,además,0.000341336039127782
2,mostrar,0.0003362793358974159
2,tiempo,0.000336092576617375
2,general,0.0003345336008351296
2,caso,0.00033295448520220816
2,alguno,0.00033279586932621896
3,análisis,0.000363157014362514
3,institución,0.000357714481651783
3,niña,0.00035348013625480235
3,nuevo,0.00034898315789178014
3,tema,0.00034799714921973646
3,público,0.00034129130654037
3,facultad_ingeniería,0.0003411579236853868
3,habilidad,0.0003348372410982847
3,importante,0.0003334771899972111
3,rol,0.0003302266704849899
3,información,0.00032939310767687857
3,vida,0.0003289549786131829
3,científico,0.0003275109629612416
3,diverso,0.0003250747686251998
3,capacidad,0.00032105264835990965
3,sociedad,0.00032095133792608976
3,perspectiva_género,0.00031948284595273435
3,seguir,0.0003180476778652519
3,establecer,0.0003163290093652904
3,promover,0.00031195947667583823
3,necesidad,0.00031056543230079114
3,institucional,0.0003090342797804624
3,iniciativa,0.0003068395599257201
3,fortalecer,0.00030313513707369566
3,dato,0.0003025991900358349
3,universitario,0.0003017844574060291
3,ver,0.00030110831721685827
3,profesor,0.0003002980083692819
3,condición,0.00029973796335980296
3,económico,0.00029928426374681294
4,recurso,0.0003451335069257766
4,diferencia,0.00034137078910134733
4,organización,0.000329438888002187
4,entrevista,0.00032930081943050027
4,cuenta,0.0003262058016844094
4,mundo,0.0003225242835469544
4,importancia,0.00032236758852377534
4,decisión,0.00032165771699510515
4,comunicación,0.0003196127654518932
4,impacto,0.00031313777435570955
4,propio,0.0003123947826679796
4,participar,0.0003107030061073601
4,miembro,0.0003090962709393352
4,eje,0.0003085055504925549
5,comunidad,0.0016222931444644928
5,ámbito,0.0015063611790537834
5,conocer,0.001505972584709525
