doc,topic_1,topic_2,topic_3,topic_4,topic_5
libro1_limpio_cleaned.txt,6.62229e-05,0.9998467,3.4956687e-05,2.8280554e-05,2.3762963e-05
libro2_limpio_cleaned.txt,5.697563e-05,3.9990377e-05,3.0075385e-05,2.4331499e-05,0.9998486
libro3_limpio_cleaned.txt,3.994603e-05,0.99990755,2.1086073e-05,1.7058992e-05,1.4334107e-05
