topic,word,weight
1,notable,0.00018690006982069463
1,lac,0.0001859298354247585
1,sostenible,0.00018444220768287778
1,plan_estratégico,0.00017932105401996523
1,utn,0.00017597389523871243
1,disparidad_género,0.00017591578944120556
1,pregunta_investigación,0.00017444073455408216
1,constructo,0.00017235612904187292
1,recurso_estratégico,0.00016995449550449848
1,vocación_científico,0.0001696846738923341
1,investigación_formativo,0.00016842114564497024
1,financiero,0.0001676577521720901
1,estilo_aprendizaje,0.00016759836580604315
1,actitud_favorable,0.0001675060484558344
1,entrevistado,0.000166796482517384
1,currículo,0.00016453026910312474
1,puntaje,0.0001628346653888002
1,mentora,0.00016282915021292865
1,mentoreo,0.00016278373368550092
1,sentimiento,0.00016269998741336167
1,industria_software,0.0001625747245270759
1,dispositivo,0.0001621431001694873
1,siilmi,0.0001617010129848495
1,trabajador,0.0001615296641830355
1,producción_científico,0.00016129926370922476
1,puntuación,0.00016071392747107893
1,modalidad_presencial,0.00016062887152656913
1,actitud_ciencia,0.00016049430996645242
1,proceder,0.00016006077930796891
1,visita,0.00015958315634634346
2,wie,0.0011692035477608442
2,owsd,0.0011686442885547876
2,desacuerdo,0.0011684237979352474
2,revisión_sistemático,0.0011683806078508496
2,teletrabajo,0.00116833858191967
2,figura,0.0010958585189655423
2,plazo,0.0010957833146676421
2,entorno_laboral,0.001095629297196865
2,organismo,0.0010953678283840418
2,salario,0.001023064716719091
2,unir,0.0010230093030259013
2,emergente,0.001022998127155006
2,prototipo,0.0010227151215076447
2,madre_comunitario,0.0010226831072941422
2,incorporar_perspectiva,0.0009506241767667234
2,red_apoyo,0.0009501247550360858
2,secundaria,0.0009501236490905285
2,implementar_política,0.0009501177119091153
2,ajustar,0.0009498702129349113
2,empírico,0.0009498380240984261
2,experiencia_educativo,0.0008773361332714558
2,personalizado,0.000877267331816256
2,rsl,0.0008772535366006196
2,dei_ingeniería,0.0008772520814090967
2,persona_discapacidad,0.000877235783264041
2,facena,0.0008771951543167233
2,mesa,0.0008771615684963763
2,ingeniería_lac,0.0008770885760895908
2,contribuir_desarrollo,0.0008770354324951768
2,dei,0.0008769806590862572
3,situación_problemático,0.00018009799532592297
3,chile,0.00017970854241866618
3,honduras,0.00017710663087200373
3,clasificación,0.00017489257152192295
3,autoconfianza,0.00016997329657897353
3,enfoque_diferencial,0.00016904427320696414
3,ítems,0.00016779960424173623
3,semillero,0.00016681019042152911
3,emprendedora,0.00016482872888445854
3,estilo,0.00016374887491110712
3,cargo_liderazgo,0.00016255138325504959
3,ssm,0.00016250432236120105
3,quinua,0.0001624400756554678
3,reflexivo,0.0001623585558263585
3,fundamento,0.0001621298142708838
3,mixto,0.00016192454495467246
3,continuo,0.00016181918908841908
3,aspiración,0.00016053116996772587
3,subrayar_importancia,0.0001601703988853842
3,accesible,0.00015974567213561386
3,política_inclusiva,0.00015932292444631457
3,imperativo,0.00015902149607427418
3,legislación,0.00015892543888185173
3,acción_concreto,0.0001584838901180774
3,utb,0.0001579755189595744
3,recolección_dato,0.00015735342458356172
3,construido,0.0001571587927173823
3,mapeo,0.00015634090232197195
3,didáctica,0.00015624857041984797
3,vivienda,0.00015618458564858884
4,blando,0.00016584203694947064
4,combinación,0.00016480631893500686
4,calidad_sueño,0.0001636116357985884
4,role_liderazgo,0.00016350091027561575
4,mundo_real,0.00016329616482835263
4,autoevaluación,0.0001629406469874084
4,accesibilidad,0.00016022249474190176
4,legal,0.0001575901551404968
4,becaria,0.0001568758743815124
4,lengua,0.00015665443788748235
4,implementar_programa,0.00015656375035177916
4,corhuila,0.00015650381101295352
4,productividad,0.00015630500274710357
4,podcasts,0.0001562966062920168
4,equilibrar,0.0001562245306558907
4,universidad_andes,0.0001560225646244362
5,covid,0.0016139362705871463
5,wie_utp,0.0016138381324708462
5,extracto,0.0016135332407429814
5,universidad_ecci,0.0016128865536302328
5,utpl,0.0014531975612044334
5,productor,0.00145299534779042
5,monitora,0.0014526896411553025
5,promedio_general,0.0014526769518852234
5,formación_postgrado,0.0014525966253131628
5,inv,0.0012927389470860362
5,cundinamarca,0.001292617991566658
5,femenino_masculino,0.0012925815535709262
5,corresponder_estudiante,0.0012924320762977004
5,masculino_femenino,0.0012924205511808395
5,comercialización,0.0012922988971695304
5,saga,0.0012922578025609255
5,unab,0.0012922337045893073
5,autopresentación,0.0012919156579300761
5,impacto_vida,0.00129172601737082
5,precisión,0.0011325058294460177
5,proyecto_meninas,0.0011320689227432013
5,grano,0.0011320454068481922
5,aspecto_relevante,0.0011319367913529277
5,estatal,0.0011318555334582925
5,proceso_industrial,0.0011318428441882133
5,director,0.0011318279430270195
5,alegría,0.0011318036122247577
5,web,0.001131801982410252
5,quinuar,0.001131776487454772
5,fwci,0.0011317715980112553
