doc,topic_1,topic_2,topic_3,topic_4,topic_5
libro1_limpio_cleaned.txt,6.529827e-05,0.99984896,3.446861e-05,2.7914772e-05,2.3420336e-05
libro2_limpio_cleaned.txt,5.662698e-05,3.9556788e-05,2.9891347e-05,2.4223078e-05,0.99984974
libro3_limpio_cleaned.txt,3.9745246e-05,2.7888682e-05,2.0980086e-05,0.9998971,1.4258256e-05
