word,frequency
mujer,967
género,692
ingeniería,564
stem,405
estudiante,402
poder,382
investigación,294
estudio,268
carrera,243
programa,223
desarrollo,212
él,205
ciencia,204
área,193
educación,192
hombre,192
política,184
académico,184
año,182
trabajo,181
resultado,171
profesional,171
dato,170
análisis,169
brecha,167
enfoque,166
educativo,161
social,156
participación,155
permitir,155
nivel,154
proyecto,151
estrategia,148
promover,137
significativo,136
oportunidad,135
experiencia,127
perspectiva,126
impacto,125
universidad,123
apoyo,123
desarrollar,119
laboral,118
habilidad,117
modelo,116
entorno,112
identificar,109
igualdad,109
formación,109
liderazgo,108
actividad,108
actitud,107
institución,106
ámbito,106
grupo,105
necesidad,101
diferencia,101
persona,100
espacio,99
niña,99
percepción,99
mostrar,98
incluir,97
conocimiento,97
emprendimiento,94
barrera,93
relación,93
técnico,93
acción,91
fomentar,90
seguir,89
presentar,88
específico,88
proceso,88
inclusión,87
destacar,86
tecnología,86
aprendizaje,86
evaluación,85
importancia,84
relacionado,84
mejorar,84
iniciativa,83
personal,83
público,82
sector,81
caso,81
información,81
joven,81
enfrentar,80
pregunta,80
diversidad,79
interés,79
estereotipo,78
deber,78
sugerir,78
herramienta,77
problema,77
desafío,77
región,74
científico,74
diverso,74
equidad,74
institucional,74
factor,74
femenino,74
capacidad,72
futuro,71
importante,70
fundamental,70
diferente,70
clave,69
valor,69
respuesta,68
económico,66
acceso,65
comunidad,65
implementación,64
encontrar,64
violencia,63
práctica,63
calidad,63
utilizar,63
proporcionar,63
llevar,63
revisión,62
dimensión,62
cambio,62
colombia,62
tecnológico,62
analizar,62
ingeniera,62
positivo,62
nacional,61
contribuir,61
internacional,60
generar,60
superior,60
ofrecer,60
inclusivo,59
general,59
artículo,59
propuesta,58
creación,58
recurso,58
enseñanza,58
dificultad,58
nuevo,57
representación,57
red,57
comunicación,57
trabajar,57
innovación,56
competencia,56
implementar,56
vida,56
sistema,56
facultad,56
desigualdad,55
éxito,55
efectivo,55
basado,54
rol,54
crucial,54
participante,54
tema,53
promoción,53
escolar,53
buscar,53
curso,53
existir,52
industrial,51
disciplina,50
universitario,50
lograr,50
variable,50
método,49
avance,49
relevante,49
organización,48
país,48
docente,48
asegurar,48
alguno,47
solución,47
evidenciar,47
indicador,47
mentoría,47
secundaria,47
aspecto,47
emprendedor,47
crear,46
tiempo,46
escuela,46
representar,46
último,45
fortalecer,45
diseño,45
lac,44
generación,44
afectar,44
establecer,44
facilitar,44
tendencia,44
evidencia,43
ods,43
metodología,43
mayoría,43
edad,43
evaluar,43
encuesta,43
lugar,42
esencial,42
clase,42
obtener,42
situación,41
discriminación,41
aumentar,41
hallazgo,40
capacitación,40
estudiar,40
característica,40
gestión,40
ejemplo,40
mejora,39
cuenta,39
masculino,39
industria,39
equitativo,39
energético,39
fuente,38
cultura,38
falta,38
comparación,38
negocio,38
eléctrico,38
literatura,37
básico,37
garantizar,37
empresa,37
matildo,37
vocación,37
número,37
término,37
prueba,37
mundo,37
egresada,37
favorable,37
decisión,36
equipo,36
regional,36
proponer,36
varón,36
reflejar,36
sociedad,36
demostrar,35
posible,35
aún,35
constructo,35
reducir,35
media,35
fase,34
matemático,34
aplicar,34
contar,34
aplicación,34
instrumento,34
integrar,34
contenido,34
mantener,34
riesgo,34
modalidad,34
propio,34
dei,33
definir,33
construcción,33
matemática,33
actual,33
teórico,32
familiar,32
cultural,32
periodo,32
aula,32
participar,32
instituto,32
conjunto,31
criterio,31
bien,31
papel,31
responsabilidad,31
ver,31
limitar,31
formativo,31
software,31
evento,30
población,30
elección,30
reconocer,30
sostenible,30
cualitativo,30
continuar,30
caribe,30
práctico,30
claro,30
servicio,30
taller,30
crecimiento,30
blando,30
madre,30
estructural,29
salud,29
apoyar,29
referente,29
global,29
sesgo,29
ingreso,29
currículo,29
cuantitativo,29
integral,29
