topic,word,weight
1,mujer,0.0020622110459953547
1,investigación,0.0009883318562060595
1,poder,0.0008659964078105986
1,estudiante,0.0007923798984847963
1,ingeniería,0.0007534330361522734
1,género,0.000750041042920202
1,estudio,0.0005669472739100456
1,académico,0.0005199271836318076
1,programa,0.0005069936742074788
1,proceso,0.0004954401520080864
1,proyecto,0.0004940498620271683
1,área,0.0004933553864248097
1,carrera,0.00046799291158095
1,permitir,0.00046566445962525904
1,información,0.00046411226503551006
1,stem,0.0004612196353264153
1,análisis,0.0004539315705187619
1,experiencia,0.0004429994442034513
1,diferente,0.0004325903719291091
1,año,0.0004288041382096708
1,hombre,0.0004259144770912826
1,persona,0.0004236989771015942
1,actividad,0.00041734761907719076
1,aprendizaje,0.00041486448026262224
1,social,0.0004139691009186208
1,profesional,0.00040929255192168057
1,tema,0.0004074223979841918
1,nivel,0.00040579261258244514
1,universidad,0.00040502281626686454
1,trabajo,0.0004039617197122425
2,institución,0.00053286028560251
2,acción,0.0005169222713448107
2,formación,0.0005150014185346663
2,educación_superior,0.0005010495660826564
2,interés,0.0005008266889490187
2,dato,0.0004997592186555266
2,enfoque,0.0004901450593024492
2,además,0.0004864496295340359
2,participación,0.0004800710012204945
2,grupo,0.0004495305474847555
2,mostrar,0.00043545599328354
2,deber,0.0004334775439929217
2,docente,0.0004311985394451767
2,estrategia,0.0004303352616261691
2,encontrar,0.0004288819036446512
2,través,0.00042285112431272864
2,resultado,0.0004221800190862268
2,comunidad,0.0004163614648859948
2,conocimiento,0.0004134716291446239
2,incluir,0.00040735944639891386
2,relacionado,0.0004055502649862319
2,laboral,0.00040506242658011615
2,alguno,0.0004037395119667053
2,hombre_mujer,0.00040213504689745605
2,significativo,0.00039668104727752507
2,identificar,0.0003962422488257289
2,taller,0.00039415512583218515
2,educación,0.00039268366526812315
2,general,0.00039047159953042865
2,desarrollar,0.00038976853829808533
3,presentar,0.0025624227710068226
3,caso,0.0021189828403294086
3,modelo,0.0019819261506199837
3,factor,0.0019141160883009434
3,desarrollo,0.0018796499352902174
3,según,0.0018794022034853697
3,oportunidad,0.001845651539042592
3,investigadora,0.0018118154257535934
3,brecha_género,0.0018113182159140706
3,sistema,0.0018111749086529016
3,lograr,0.0017772113205865026
3,tecnología,0.0017431965097784996
3,país,0.0017428655410185456
3,política,0.0017091535264626145
3,organización,0.0016750373179093003
3,ámbito,0.0016748042544350028
3,problema,0.0016072590369731188
3,número,0.0016070568235591054
3,impacto,0.0016064329538494349
3,trabajar,0.0016063353978097439
3,generar,0.0016062341164797544
3,relación,0.0015725874109193683
3,analizar,0.0015724641270935535
3,situación,0.0015722675016149879
3,diverso,0.001571998349390924
3,diferencia,0.0015387422172352672
3,acceso,0.0015383657300844789
3,población,0.0015382560668513179
3,utilizar,0.0015382188139483333
3,participar,0.0015379312681034207
4,específico,0.0003526157815940678
4,igualdad_género,0.00035109673626720905
4,espacio,0.0003417852276470512
4,herramienta,0.00033727820846252143
4,participante,0.00033562822500243783
4,cambio,0.00033339011133648455
4,liderazgo,0.0003324418212287128
4,promedio,0.000331737392116338
4,posible,0.00033009937033057213
4,fundamental,0.00032702446333132684
4,facultad,0.0003257528005633503
4,relevante,0.00032568571623414755
4,percepción,0.0003253525064792484
4,desafío,0.000324098247801885
5,área_stem,0.000311785755911842
5,promover,0.0002933663490694016
5,contar,0.00029042811365798116
5,sociedad,0.00028840560116805136
5,establecer,0.00028808030765503645
5,institucional,0.00028772055520676076
